date,home_team,away_team,outcome,betmgm,betonlineag,betrivers,betus,bovada,draftkings,fanduel,williamhill_us
2025-02-22,Modestas Bukauskas,Raffael Cerqueira,Modestas Bukauskas,,-270.0,-286.0,-275.0,-280.0,-285.0,-290.0,
2025-02-22,Modestas Bukauskas,Raffael Cerqueira,Raffael Cerqueira,,230.0,220.0,220.0,230.0,230.0,235.0,
2025-02-22,Niko Samsonidse,Edgar Delgado,Edgar Delgado,,,,,225.0,,,
2025-02-22,Niko Samsonidse,Edgar Delgado,Niko Samsonidse,,,,,-310.0,,,
2025-02-22,Nursultan Ruziboev,Eric McConico,Eric McConico,,220.0,230.0,220.0,220.0,220.0,215.0,
2025-02-22,Nursultan Ruziboev,Eric McConico,Nursultan Ruziboev,,-260.0,-295.0,-280.0,-270.0,-270.0,-260.0,
2025-02-22,Phumi Nkuta,Adrian Garcia,Adrian Garcia,,,,,600.0,,,
2025-02-22,Phumi Nkuta,Adrian Garcia,Phumi Nkuta,,,,,-1100.0,,,
2025-02-22,Sam Creasey,Beno Adamia,Beno Adamia,,,,,140.0,,,
2025-02-22,Sam Creasey,Beno Adamia,Sam Creasey,,,,,-185.0,,,
2025-02-22,Sierra Dinwoodie,Nikol Aguirre,Nikol Aguirre,,,,,375.0,,,
2025-02-22,Sierra Dinwoodie,Nikol Aguirre,Sierra Dinwoodie,,,,,-600.0,,,
2025-02-22,Uku Jurjendal,Ben Sosoli,Ben Sosoli,,,,,-275.0,,,
2025-02-22,Uku Jurjendal,Ben Sosoli,Uku Jurjendal,,,,,200.0,,,
2025-02-22,Veronika Smolkova,Aitana Alvarez,Aitana Alvarez,,,,,-105.0,,,
2025-02-22,Veronika Smolkova,Aitana Alvarez,Veronika Smolkova,,,,,-125.0,,,
2025-03-01,Andrea Lee,J.J. Aldrich,Andrea Lee,180.0,170.0,165.0,165.0,170.0,164.0,168.0,160.0
2025-03-01,Andrea Lee,J.J. Aldrich,J.J. Aldrich,-220.0,-200.0,-210.0,-200.0,-200.0,-198.0,-200.0,-190.0
2025-03-01,Austen Lane,Mario Pinto,Austen Lane,425.0,400.0,400.0,375.0,390.0,400.0,430.0,380.0
2025-03-01,Austen Lane,Mario Pinto,Mario Pinto,-600.0,-515.0,-560.0,-550.0,-550.0,-535.0,-590.0,-500.0
2025-03-01,Charles Johnson,Ramazonbek Temirov,Charles Johnson,,-130.0,-132.0,-130.0,,-135.0,-126.0,-135.0
2025-03-01,Charles Johnson,Ramazonbek Temirov,Ramazonbek Temirov,,110.0,107.0,100.0,,114.0,108.0,115.0
2025-03-01,Danny Silva,Lucas Almeida,Danny Silva,-225.0,-250.0,-245.0,-250.0,-230.0,-250.0,-230.0,-250.0
2025-03-01,Danny Silva,Lucas Almeida,Lucas Almeida,185.0,210.0,190.0,200.0,190.0,205.0,190.0,205.0
2025-03-01,Douglas Silva de Andrade,John Castaneda,Douglas Silva de Andrade,275.0,,,,,,265.0,
2025-03-01,Douglas Silva de Andrade,John Castaneda,John Castaneda,-350.0,,,,,,-330.0,
2025-03-01,Montana De La Rosa,Luana Carolina,Luana Carolina,,,,,,,-134.0,
2025-03-01,Montana De La Rosa,Luana Carolina,Montana De La Rosa,,,,,,,114.0,
2025-03-01,Ricardo Ramos,Chepe Mariscal,Chepe Mariscal,-450.0,,-435.0,,,,,
2025-03-01,Ricardo Ramos,Chepe Mariscal,Ricardo Ramos,350.0,,330.0,,,,,
2025-03-01,Ricardo Ramos,Jose Mariscal,Jose Mariscal,,-371.0,,-371.0,-440.0,-395.0,-405.0,-450.0
2025-03-01,Ricardo Ramos,Jose Mariscal,Ricardo Ramos,,296.0,,271.0,330.0,310.0,320.0,350.0
2025-03-08,Adam Shelley,Simone Patrizi,Adam Shelley,,,,,105.0,,,
2025-03-08,Adam Shelley,Simone Patrizi,Simone Patrizi,,,,,-135.0,,,
2025-03-08,Damian Mieczkowski,Bartosz Kurek,Bartosz Kurek,,,,,155.0,,,
2025-03-08,Damian Mieczkowski,Bartosz Kurek,Damian Mieczkowski,,,,,-205.0,,,
2025-03-08,Damiano Scogna,Gerasimos Sioutis,Damiano Scogna,,,,,-700.0,,,
2025-03-08,Damiano Scogna,Gerasimos Sioutis,Gerasimos Sioutis,,,,,425.0,,,
2025-03-08,Dario Bellandi,Naglis Kanisauskas,Dario Bellandi,,,,,-300.0,,,
2025-03-08,Dario Bellandi,Naglis Kanisauskas,Naglis Kanisauskas,,,,,220.0,,,
2025-03-08,Davide Scarano,Florian Doskja,Davide Scarano,,,,,110.0,,,
2025-03-08,Davide Scarano,Florian Doskja,Florian Doskja,,,,,-145.0,,,
2025-03-08,Dylan Hazan,Michelangelo Lupoli,Dylan Hazan,,,,,-250.0,,,
2025-03-08,Dylan Hazan,Michelangelo Lupoli,Michelangelo Lupoli,,,,,185.0,,,
2025-03-08,Giuseppe Mastrogiacomo,Aiden Lee,Aiden Lee,,,,,200.0,,,
2025-03-08,Giuseppe Mastrogiacomo,Aiden Lee,Giuseppe Mastrogiacomo,,,,,-275.0,,,
2025-03-08,Konstantinos Ntelis,Michael Pagani,Konstantinos Ntelis,,,,,275.0,,,
2025-03-08,Konstantinos Ntelis,Michael Pagani,Michael Pagani,,,,,-400.0,,,
2025-03-08,Lazar Todev,Will Fleury,Lazar Todev,,,,,130.0,,,
2025-03-08,Lazar Todev,Will Fleury,Will Fleury,,,,,-170.0,,,
2025-03-08,Liam Gittins,Alessandro Giordano,Alessandro Giordano,,,,,265.0,,,
2025-03-08,Liam Gittins,Alessandro Giordano,Liam Gittins,,,,,-385.0,,,
2025-03-08,Marek Bartl,Daniel Schwindt,Daniel Schwindt,,,,,155.0,,,
2025-03-08,Marek Bartl,Daniel Schwindt,Marek Bartl,,,,,-205.0,,,
2025-03-08,Marek Samociuk,Filip Stawowy,Filip Stawowy,,,,,100.0,,,
2025-03-08,Marek Samociuk,Filip Stawowy,Marek Samociuk,,,,,-130.0,,,
2025-03-08,Orlando Wilson Prins,Giuseppe Ruggeri,Giuseppe Ruggeri,,,,,110.0,,,
2025-03-08,Orlando Wilson Prins,Giuseppe Ruggeri,Orlando Wilson Prins,,,,,-145.0,,,
2025-03-08,Piotr Kuberski,Tomasz Romanowski,Piotr Kuberski,,,,,-1000.0,,,
2025-03-08,Piotr Kuberski,Tomasz Romanowski,Tomasz Romanowski,,,,,550.0,,,
2025-03-08,Roman Szymanski,Maciej Kazieczko,Maciej Kazieczko,,,,,180.0,,,
2025-03-08,Roman Szymanski,Maciej Kazieczko,Roman Szymanski,,,,,-240.0,,,
2025-03-15,A.J. Cunningham,Su Young You,A.J. Cunningham,,400.0,410.0,375.0,,380.0,410.0,
2025-03-15,A.J. Cunningham,Su Young You,Su Young You,,-550.0,-560.0,-510.0,,-500.0,-550.0,
2025-03-15,Andre Lima,Daniel Barez,Andre Lima,-450.0,-500.0,-420.0,-500.0,-400.0,-425.0,-390.0,
2025-03-15,Andre Lima,Daniel Barez,Daniel Barez,333.0,385.0,320.0,369.0,300.0,330.0,310.0,
2025-03-15,Brendson Ribeiro,Diyar Nurgozhay,Brendson Ribeiro,310.0,300.0,300.0,309.0,290.0,295.0,300.0,
2025-03-15,Brendson Ribeiro,Diyar Nurgozhay,Diyar Nurgozhay,-400.0,-400.0,-400.0,-400.0,-380.0,-375.0,-375.0,
2025-03-15,Carli Judice,Yuneisy Duben,Carli Judice,-250.0,-240.0,-240.0,-240.0,-350.0,-230.0,,
2025-03-15,Carli Judice,Yuneisy Duben,Yuneisy Duben,200.0,205.0,185.0,198.0,275.0,190.0,,
2025-03-15,Fran Breen,Elves Oliveira,Elves Oliveira,,,,,1000.0,,,
2025-03-15,Fran Breen,Elves Oliveira,Fran Breen,,,,,-2500.0,,,
2025-03-15,Jack Humphries,Nick Beukema,Jack Humphries,,,,,-435.0,,,
