EVENT,BOUT,jfighter,FIGHTER,DATE,win,predicted_prob,odds
UFC 100,Dong Hyun Kim vs. TJ Grant,TJGrant,TJ Grant,2009-07-11,0,0.5231368,1.91
UFC 100,Dan Henderson vs. Michael Bisping,DanHenderson,Dan Henderson,2009-07-11,1,0.44179225,2.26
UFC 100,Dan Henderson vs. Michael Bisping,MichaelBisping,Michael Bisping,2009-07-11,0,0.58803856,1.7
UFC 100,Jim Miller vs. Mac Danzig,JimMiller,Jim Miller,2009-07-11,1,0.6903762,1.45
UFC 100,Jim Miller vs. Mac Danzig,MacDanzig,Mac Danzig,2009-07-11,0,0.23943634,4.18
UFC 100,Brock Lesnar vs. Frank Mir,BrockLesnar,Brock Lesnar,2009-07-11,1,0.78412694,1.28
UFC 100,Brock Lesnar vs. Frank Mir,FrankMir,Frank Mir,2009-07-11,0,0.3074096,3.25
UFC 100,Jon Fitch vs. Paulo Thiago,JonFitch,Jon Fitch,2009-07-11,1,0.78836465,1.27
UFC 100,Jon Fitch vs. Paulo Thiago,PauloThiago,Paulo Thiago,2009-07-11,0,0.3301426,3.03
UFC 100,Tom Lawlor vs. CB Dollaway,TomLawlor,Tom Lawlor,2009-07-11,1,0.5144703,1.94
UFC 100,Tom Lawlor vs. CB Dollaway,CBDollaway,CB Dollaway,2009-07-11,0,0.584088,1.71
UFC 101: Declaration,Aaron Riley vs. Shane Nelson,AaronRiley,Aaron Riley,2009-08-08,1,0.32337913,3.09
UFC 101: Declaration,Aaron Riley vs. Shane Nelson,ShaneNelson,Shane Nelson,2009-08-08,0,0.7042214,1.42
UFC 101: Declaration,George Sotiropoulos vs. George Roop,GeorgeSotiropoulos,George Sotiropoulos,2009-08-08,1,0.6133742,1.63
UFC 101: Declaration,George Sotiropoulos vs. George Roop,GeorgeRoop,George Roop,2009-08-08,0,0.2563188,3.9
UFC 101: Declaration,Anderson Silva vs. Forrest Griffin,AndersonSilva,Anderson Silva,2009-08-08,1,0.5491069,1.82
UFC 101: Declaration,Anderson Silva vs. Forrest Griffin,ForrestGriffin,Forrest Griffin,2009-08-08,0,0.2875921,3.48
UFC 101: Declaration,Matthew Riddle vs. Dan Cramer,MatthewRiddle,Matthew Riddle,2009-08-08,1,0.78982514,1.27
UFC 101: Declaration,Matthew Riddle vs. Dan Cramer,DanCramer,Dan Cramer,2009-08-08,0,0.27621204,3.62
UFC 101: Declaration,Ricardo Almeida vs. Kendall Grove,RicardoAlmeida,Ricardo Almeida,2009-08-08,1,0.43449748,2.3
UFC 101: Declaration,Ricardo Almeida vs. Kendall Grove,KendallGrove,Kendall Grove,2009-08-08,0,0.4004722,2.5
UFC 101: Declaration,Kurt Pellegrino vs. Josh Neer,KurtPellegrino,Kurt Pellegrino,2009-08-08,1,0.5007578,2.0
UFC 101: Declaration,Kurt Pellegrino vs. Josh Neer,JoshNeer,Josh Neer,2009-08-08,0,0.4342672,2.3
UFC 101: Declaration,BJ Penn vs. Kenny Florian,BJPenn,BJ Penn,2009-08-08,1,0.40034598,2.5
UFC 101: Declaration,BJ Penn vs. Kenny Florian,KennyFlorian,Kenny Florian,2009-08-08,0,0.5428531,1.84
UFC 101: Declaration,John Howard vs. Tamdan McCrory,JohnHoward,John Howard,2009-08-08,1,0.49086708,2.04
UFC 101: Declaration,John Howard vs. Tamdan McCrory,TamdanMcCrory,Tamdan McCrory,2009-08-08,0,0.64978784,1.54
UFC 101: Declaration,Alessio Sakara vs. Thales Leites,AlessioSakara,Alessio Sakara,2009-08-08,1,0.56219393,1.78
UFC 101: Declaration,Alessio Sakara vs. Thales Leites,ThalesLeites,Thales Leites,2009-08-08,0,0.2960401,3.38
UFC 102: Couture vs Nogueira,Thiago Silva vs. Keith Jardine,ThiagoSilva,Thiago Silva,2009-08-29,1,0.55237496,1.81
UFC 102: Couture vs Nogueira,Thiago Silva vs. Keith Jardine,KeithJardine,Keith Jardine,2009-08-29,0,0.360603,2.77
UFC 102: Couture vs Nogueira,Aaron Simpson vs. Ed Herman,AaronSimpson,Aaron Simpson,2009-08-29,1,0.52156717,1.92
UFC 102: Couture vs Nogueira,Aaron Simpson vs. Ed Herman,EdHerman,Ed Herman,2009-08-29,0,0.34837803,2.87
UFC 102: Couture vs Nogueira,Brandon Vera vs. Krzysztof Soszynski,BrandonVera,Brandon Vera,2009-08-29,1,0.5783958,1.73
UFC 102: Couture vs Nogueira,Brandon Vera vs. Krzysztof Soszynski,KrzysztofSoszynski,Krzysztof Soszynski,2009-08-29,0,0.58583546,1.71
UFC 102: Couture vs Nogueira,Nate Marquardt vs. Demian Maia,NateMarquardt,Nate Marquardt,2009-08-29,1,0.5388529,1.86
UFC 102: Couture vs Nogueira,Nate Marquardt vs. Demian Maia,DemianMaia,Demian Maia,2009-08-29,0,0.37259433,2.68
UFC 102: Couture vs Nogueira,Mark Munoz vs. Nick Catone,MarkMunoz,Mark Munoz,2009-08-29,1,0.17753719,5.63
UFC 102: Couture vs Nogueira,Mark Munoz vs. Nick Catone,NickCatone,Nick Catone,2009-08-29,0,0.62970436,1.59
UFC 102: Couture vs Nogueira,Antonio Rodrigo Nogueira vs. Randy Couture,AntonioRodrigoNogueira,Antonio Rodrigo Nogueira,2009-08-29,1,0.49507838,2.02
UFC 102: Couture vs Nogueira,Antonio Rodrigo Nogueira vs. Randy Couture,RandyCouture,Randy Couture,2009-08-29,0,0.401881,2.49
UFC 102: Couture vs Nogueira,Jake Rosholt vs. Chris Leben,JakeRosholt,Jake Rosholt,2009-08-29,1,0.60811573,1.64
UFC 102: Couture vs Nogueira,Jake Rosholt vs. Chris Leben,ChrisLeben,Chris Leben,2009-08-29,0,0.41330782,2.42
UFC Fight Night: Diaz vs Guillard,Gray Maynard vs. Roger Huerta,GrayMaynard,Gray Maynard,2009-09-16,1,0.5017055,1.99
UFC Fight Night: Diaz vs Guillard,Gray Maynard vs. Roger Huerta,RogerHuerta,Roger Huerta,2009-09-16,0,0.33043328,3.03
UFC Fight Night: Diaz vs Guillard,Nate Quarry vs. Tim Credeur,NateQuarry,Nate Quarry,2009-09-16,1,0.41034478,2.44
UFC Fight Night: Diaz vs Guillard,Nate Quarry vs. Tim Credeur,TimCredeur,Tim Credeur,2009-09-16,0,0.6268815,1.6
UFC Fight Night: Diaz vs Guillard,Nate Diaz vs. Melvin Guillard,NateDiaz,Nate Diaz,2009-09-16,1,0.42390618,2.36
UFC Fight Night: Diaz vs Guillard,Nate Diaz vs. Melvin Guillard,MelvinGuillard,Melvin Guillard,2009-09-16,0,0.59248906,1.69
